tranfer_success,block_index,transaction_index,data-time,data-temp,data-humidity,transfer_time
true,20,88,23.79,33.33,2021-01-04T14:05:00Z
true,143,42,20.82,40.59,2021-01-04T15:53:00Z
true,87,96,21.79,39.23,2021-01-04T17:41:00Z
true,153,9,20.60,36.23,2021-01-04T19:27:00Z
true,97,48,21.60,36.98,2021-01-04T21:12:00Z
true,74,44,22.07,42.56,2021-01-04T22:59:00Z
true,157,54,20.50,41.13,2021-01-05T00:40:00Z
true,142,82,20.86,37.40,2021-01-05T02:23:00Z
true,131,26,21.03,41.13,2021-01-05T04:12:00Z
true,155,57,20.55,38.62,2021-01-05T05:58:00Z
true,80,21,21.93,37.86,2021-01-05T07:41:00Z
true,139,1,20.89,36.29,2021-01-05T09:28:00Z
true,128,57,21.10,39.97,2021-01-05T11:15:00Z
true,42,17,22.79,34.79,2021-01-05T12:55:00Z
true,138,33,20.89,34.19,2021-01-05T14:36:00Z
true,101,77,21.50,34.73,2021-01-05T16:20:00Z
true,35,47,23.00,38.50,2021-01-05T18:08:00Z
true,134,28,21.00,40.03,2021-01-05T19:49:00Z
true,35,9,23.00,35.17,2021-01-05T21:31:00Z
true,6,5,25.00,48.00,2021-01-05T23:13:00Z
true,65,64,22.20,37.66,2021-01-06T01:00:00Z
true,102,97,21.50,37.40,2021-01-06T02:44:00Z
true,5,53,25.00,38.70,2021-01-06T04:24:00Z
true,151,44,20.70,44.79,2021-01-06T06:11:00Z
true,178,10,19.70,36.79,2021-01-06T07:56:00Z
true,171,76,20.00,45.57,2021-01-06T09:45:00Z
true,14,43,24.39,39.16,2021-01-06T11:34:00Z
true,90,78,21.76,48.57,2021-01-06T13:23:00Z
true,122,14,21.20,39.50,2021-01-06T15:12:00Z
true,17,89,24.10,47.70,2021-01-06T16:58:00Z
true,28,49,23.36,44.07,2021-01-06T18:47:00Z
true,143,67,20.79,33.36,2021-01-06T20:28:00Z
true,87,7,21.79,37.29,2021-01-06T22:17:00Z
true,50,21,22.60,39.03,2021-01-07T00:05:00Z
true,39,38,22.89,39.97,2021-01-07T01:45:00Z
true,176,66,19.79,43.97,2021-01-07T03:27:00Z
true,157,66,20.50,42.25,2021-01-07T05:12:00Z
true,145,23,20.79,37.36,2021-01-07T06:59:00Z
true,113,72,21.32,47.17,2021-01-07T08:42:00Z
true,158,47,20.43,37.70,2021-01-07T10:30:00Z
true,24,80,23.57,45.33,2021-01-07T12:13:00Z
true,0,18,26.10,41.76,2021-01-07T13:59:00Z
true,42,93,22.79,38.59,2021-01-07T15:40:00Z
true,40,90,22.89,46.00,2021-01-07T17:28:00Z
true,95,59,21.67,37.76,2021-01-07T19:11:00Z
true,16,86,24.17,41.70,2021-01-07T20:54:00Z
true,20,95,23.79,35.00,2021-01-07T22:39:00Z
true,135,7,21.00,41.40,2021-01-08T00:25:00Z
true,96,34,21.63,39.59,2021-01-08T02:10:00Z
true,149,56,20.70,36.73,2021-01-08T03:55:00Z
true,147,98,20.76,40.83,2021-01-08T05:43:00Z
true,8,60,24.79,47.00,2021-01-08T07:31:00Z
true,30,72,23.20,38.75,2021-01-08T09:16:00Z
true,84,72,21.89,46.20,2021-01-08T11:00:00Z
true,80,79,21.89,42.24,2021-01-08T12:40:00Z
true,130,38,21.07,35.50,2021-01-08T14:25:00Z
true,157,6,20.50,38.09,2021-01-08T16:12:00Z
true,15,77,24.29,38.19,2021-01-08T18:00:00Z
true,90,6,21.79,47.66,2021-01-08T19:42:00Z
true,120,76,21.20,36.73,2021-01-08T21:23:00Z
true,146,7,20.79,40.09,2021-01-08T23:08:00Z
true,173,57,19.89,38.09,2021-01-09T00:49:00Z
true,166,25,20.13,43.59,2021-01-09T02:30:00Z
true,79,40,21.96,36.63,2021-01-09T04:11:00Z
true,176,98,19.79,47.03,2021-01-09T05:54:00Z
true,116,64,21.29,40.53,2021-01-09T07:36:00Z
true,95,85,21.67,42.69,2021-01-09T09:25:00Z
true,110,35,21.39,39.80,2021-01-09T11:08:00Z
true,111,5,21.39,41.50,2021-01-09T12:55:00Z
true,130,69,21.07,45.40,2021-01-09T14:38:00Z
true,86,2,21.82,42.13,2021-01-09T16:23:00Z
true,53,41,22.50,36.76,2021-01-09T18:06:00Z
true,18,91,24.00,40.70,2021-01-09T19:52:00Z
true,82,98,21.89,39.73,2021-01-09T21:39:00Z
true,63,15,22.29,43.80,2021-01-09T23:21:00Z
true,14,1,24.39,54.02,2021-01-10T01:05:00Z
true,90,83,21.75,45.65,2021-01-10T02:47:00Z
true,34,68,23.03,40.43,2021-01-10T04:31:00Z
true,137,85,20.93,39.40,2021-01-10T06:14:00Z
true,30,96,23.20,39.90,2021-01-10T08:00:00Z
true,105,45,21.50,42.33,2021-01-10T09:45:00Z
true,30,73,23.20,38.80,2021-01-10T11:29:00Z
true,93,13,21.70,38.50,2021-01-10T13:11:00Z
true,93,65,21.70,39.59,2021-01-10T14:52:00Z
true,35,72,23.00,40.39,2021-01-10T16:38:00Z
true,140,8,20.89,38.09,2021-01-10T18:22:00Z
true,77,89,22.00,41.72,2021-01-10T20:08:00Z
true,102,51,21.50,36.70,2021-01-10T21:53:00Z
true,9,84,24.73,47.93,2021-01-10T23:41:00Z
true,31,50,23.20,41.90,2021-01-11T01:21:00Z
true,69,21,22.17,44.90,2021-01-11T03:10:00Z
true,155,9,20.60,43.90,2021-01-11T04:52:00Z
true,165,28,20.20,43.53,2021-01-11T06:35:00Z
true,116,58,21.29,40.40,2021-01-11T08:20:00Z
true,89,93,21.79,46.36,2021-01-11T10:01:00Z
true,4,54,25.10,38.90,2021-01-11T11:43:00Z
true,141,88,20.89,43.59,2021-01-11T13:25:00Z
true,127,67,21.10,38.13,2021-01-11T15:11:00Z
true,131,14,21.03,40.13,2021-01-11T16:53:00Z
true,2,15,25.50,50.97,2021-01-11T18:39:00Z
true,137,63,20.93,37.20,2021-01-11T20:22:00Z
true,116,42,21.29,40.00,2021-01-11T22:07:00Z
true,130,73,21.07,46.16,2021-01-11T23:51:00Z
true,46,1,22.70,36.87,2021-01-12T01:34:00Z
true,166,65,20.10,35.79,2021-01-12T03:17:00Z
true,16,15,24.20,35.03,2021-01-12T05:03:00Z
true,138,89,20.89,36.00,2021-01-12T06:52:00Z
true,44,15,22.79,43.23,2021-01-12T08:37:00Z
true,136,86,20.96,37.63,2021-01-12T10:26:00Z
true,152,36,20.63,43.93,2021-01-12T12:13:00Z
true,25,19,23.50,35.00,2021-01-12T14:00:00Z
true,63,81,22.26,38.76,2021-01-12T15:46:00Z
true,87,30,21.79,38.19,2021-01-12T17:33:00Z
true,90,25,21.76,35.09,2021-01-12T19:15:00Z
true,115,92,21.29,39.20,2021-01-12T20:58:00Z
true,83,50,21.89,41.29,2021-01-12T22:40:00Z
true,8,22,24.79,35.79,2021-01-13T00:26:00Z
true,120,17,21.20,35.59,2021-01-13T02:08:00Z
true,87,89,21.79,39.09,2021-01-13T03:51:00Z
true,100,78,21.57,42.20,2021-01-13T05:38:00Z
true,50,27,22.60,39.09,2021-01-13T07:25:00Z
