Sublinear Complexity Verification (time)
35
710
1108
1288
1644
1926
2335
2664
3041
3455
3888
4516
5074
5564
6045
6565
6892
7313
7871
8208
9444
9465
9823
10387
11064
11764
12564
13579
14043
15115
15379
16407
16930
17723
18447
18927
19665
20700
21173
21715
22255
22991
23342
24009
24562
25171
25600
26224
26750
27410
27985
28556
29196
29546
30267
30674
31250
31864
32307
33138
33516
34193
34708
35552
36134
36343
37032
37441
38029
38898
39094
39629
40340
40708
41376
42101
42489
42980
43841
44065
44712
45123
45775
46379
46778
47435
48059
48623
49237
50010
50262
50771
51335
51963
52390
57427
53445
54068
54398
54916
