Sublinear Complexity Verification (time)
37
695
1074
1274
1641
1915
2326
2610
3124
3477
3913
4663
5085
5590
6031
6585
6799
7428
7821
8313
8825
9540
10157
10805
11872
14223
13581
14549
15225
15757
16308
16839
17631
18310
18840
22056
20126
20763
21162
21665
22235
22761
24574
25637
24630
25242
25984
26333
26812
28182
27999
28707
29054
29615
30322
32871
31212
31793
32380
32961
35422
34054
34282
34901
36042
37579
36924
37357
38039
40628
39026
39643
40073
43000
41082
41609
42109
46128
43707
44246
44658
46336
45451
46083
50738
47996
48334
49022
50577
49677
50497
52442
51776
51844
53870
53392
53669
55840
54777
55144
