Sublinear Complexity Verification (time)
37
620
832
811
957
1067
1237
1368
1525
1733
1985
2290
2537
2897
3151
3528
3885
4433
4852
5060
6988
7711
6783
7518
6995
7096
7712
7985
8346
8839
9283
9706
10257
10780
10813
11149
11679
11991
14277
14616
14056
14130
14401
14982
15506
15952
16388
16670
17894
21417
19336
19775
20688
20495
21116
21269
22161
26474
24218
24331
24545
24904
25438
28500
26914
27092
27223
27868
27846
30328
30885
30145
30427
30676
31594
34082
31532
31949
31910
33156
36364
34132
34954
35302
36762
38133
36909
37260
37530
40580
38886
38593
38842
41940
39560
39662
40290
43185
42347
42342
