Sublinear Complexity Verification (time)
35
603
801
825
2071
1165
1282
1455
1577
1784
2002
2351
2615
3073
3499
3865
4501
4405
5294
4982
5640
5462
5794
6592
6693
6954
7355
7751
8126
8522
9064
9917
9932
10370
10612
10943
11360
11640
12036
12383
12678
13269
13855
15006
15412
16477
16282
16579
18098
18549
19366
19861
19979
20548
21198
21828
22229
22741
23099
23858
24165
24571
24804
25528
25787
26373
26521
28367
27834
28186
28456
28886
29254
29663
30176
30791
30972
31484
31808
32281
32761
32284
33311
34703
35154
35679
36546
36396
36980
37312
37710
38060
38441
38949
39658
39795
40221
40623
40912
41652
